Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","__SEH_prolog4","__tmainCRTStartup",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__SEH_prolog4","_onexit",46,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Caller","__SEH_prolog4","`eh vector destructor iterator'",2,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__set_app_type","__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
"Caller","__set_app_type","pre_c_init",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Root","__tmainCRTStartup","__tmainCRTStartup",1,99.96,0.00,"367,460.96",0.13,"Hadr04.exe",
"Caller","__tmainCRTStartup","mainCRTStartup",1,99.96,0.00,"367,460.96",0.13,"Hadr04.exe",
"Callee","__tmainCRTStartup","__atonexitinit",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","__CxxSetUnhandledExceptionFilter",1,0.00,0.00,0.01,0.01,"Hadr04.exe",
"Callee","__tmainCRTStartup","__SEH_prolog4",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'IncidentEnergyBins''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'elm_coupling''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'elm_coupling''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'elm_coupling''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"Callee","__tmainCRTStartup","CLHEP::`dynamic initializer for 'elm_coupling''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
