Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
4,atexit,1,0,0,0,0,Hadr04.exe
5,?FillH1@G4H1ToolsManager@@MAE_NHNN@Z,425181,0.03,0.03,0,0,G4analysis.dll
5,Run::CountProcesses,425181,0.03,0.01,0,0,Hadr04.exe
5,TrackingAction::UpdateTrackInfo,425181,0,0,0,0,Hadr04.exe
5,"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::push_back",5,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",8,0,0,0,0,Hadr04.exe
5,Run::EndOfRun,1,0.01,0,33.57,0.12,Hadr04.exe
5,DetectorConstruction::PrintParameters,1,0.01,0,52.77,0.06,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",1,0,0,0,0,Hadr04.exe
5,Run::SetPrimary,1,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",1,0,0,0,0,Hadr04.exe
5,PhysicsList::`scalar deleting destructor',1,0,0,1.02,1.01,Hadr04.exe
5,RunAction::`scalar deleting destructor',1,0,0,0.25,0,Hadr04.exe
5,PrimaryGeneratorAction::`scalar deleting destructor',1,0,0,0.03,0,Hadr04.exe
5,DetectorConstruction::`scalar deleting destructor',1,0,0,0.01,0,Hadr04.exe
5,Run::`scalar deleting destructor',1,0,0,0,0,Hadr04.exe
5,ActionInitialization::`scalar deleting destructor',1,0,0,0,0,Hadr04.exe
5,StackingAction::`scalar deleting destructor',1,0,0,0,0,Hadr04.exe
5,TrackingAction::`scalar deleting destructor',1,0,0,0,0,Hadr04.exe
5,SteppingAction::`scalar deleting destructor',1,0,0,0,0,Hadr04.exe
5,Run::ParticleCount,55310,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",110620,0,0,0,0,Hadr04.exe
5,?FillH1@G4H1ToolsManager@@MAE_NHNN@Z,12000,0,0,0,0,G4analysis.dll
5,Run::SumTrackLength,2000,0,0,0,0,Hadr04.exe
5,?GeneratePrimaryVertex@G4ParticleGun@@UAEXPAVG4Event@@@Z,2000,0,0,0,0,G4event.dll
5,?flat@RanecuEngine@CLHEP@@UAENXZ,4000,0,0,0,0,G4clhep.dll
5,CLHEP::Hep3Vector::unit,2000,0,0,0,0,Hadr04.exe
5,PhysicsList::ConstructParticle,1,0,0,2.62,2.62,Hadr04.exe
5,DetectorConstruction::SetSize,1,0,0,1.23,1.23,Hadr04.exe
5,DetectorConstruction::SetMaterial,1,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",1,0,0,0,0,Hadr04.exe
5,ActionInitialization::Build,1,0,0,0.94,0.01,Hadr04.exe
5,DetectorConstruction::DefineMaterials,1,0,0,0.62,0.62,Hadr04.exe
5,DetectorMessenger::DetectorMessenger,1,0,0,0.03,0.02,Hadr04.exe
5,DetectorConstruction::SetMaterial,1,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",1,0,0,0,0,Hadr04.exe
5,NeutronHPphysics::NeutronHPphysics,1,0,0,0.01,0.01,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",10,0,0,0,0,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",1,0,0,0,0,Hadr04.exe
5,Run::Run,1,0,0,0.01,0.01,Hadr04.exe
5,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",2,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0.01,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
5,_onexit,1,0,0,0,0,Hadr04.exe
6,"std::map<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> > >::operator[]",425181,0.01,0,0,0,Hadr04.exe
6,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",425181,0,0,0,0,Hadr04.exe
6,"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Lbound",425181,0,0,0,0,Hadr04.exe
6,std::char_traits<char>::compare,425178,0,0,0,0,Hadr04.exe
6,"std::vector<G4VCrossSectionDataSet *,std::allocator<G4VCrossSectionDataSet *> >::_Reserve",5,0,0,0,0,Hadr04.exe
6,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",2,0,0,0,0,Hadr04.exe
6,??5?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z,13,0.01,0,2.56,0,MSVCP120.dll
6,??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@H@Z,12,0,0,0.01,0.01,MSVCP120.dll
6,std::operator<<<std::char_traits<char> >,73,0,0,0,0,Hadr04.exe
6,??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@N@Z,3,0,0,0,0,MSVCP120.dll
6,"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",13,0,0,0,0,Hadr04.exe
6,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",12,0,0,0,0,Hadr04.exe
6,"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::assign",33,0,0,0,0,Hadr04.exe
6,"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::_Erase",1,0,0,0,0,Hadr04.exe
6,"std::_Tree<std::_Tmap_traits<G4String,Run::ParticleData,std::less<G4String>,std::allocator<std::pair<G4String const ,Run::ParticleData> >,0> >::_Erase",1,0,0,0,0,Hadr04.exe
6,?setw@std@@YA?AU?$_Smanip@_J@1@_J@Z,24,0,0,0,0,MSVCP120.dll
