Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"__atonexitinit",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'Z_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4String,std::allocator<G4String> >::_Destroy",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'Z_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'meter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"HistoManager::HistoManager",1,0.00,0.00,0.79,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Fac_tidy_reg_t::~_Fac_tidy_reg_t",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::_Tree<std::_Tmap_traits<G4String,int,std::less<G4String>,std::allocator<std::pair<G4String const ,int> >,0> >::erase",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"_onexit",46,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'kilogram''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'Z_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'T_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'kilogram''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'kilogram''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::`dynamic initializer for '_Fac_tidy_reg''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'Y_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'T_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'epsilon0''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"std::vector<G4UIparameter *,std::allocator<G4UIparameter *> >::push_back",5,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'HepRandomGenActive''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'twopi_mc2_rcl2''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'twopi_mc2_rcl2''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'X_HAT4''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'centimeter3''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
"CLHEP::`dynamic initializer for 'epsilon0''",1,0.00,0.00,0.00,0.00,"Hadr04.exe",
